source_file,blank_count
19_bg-odds(1).pdf,18287
19_youth_antlerless_drawing_odds_report(1).pdf,7021
19_antlerless_drawing_odds_report(1).pdf,6507
19_lifetime_deer.pdf,3832
19_youth_deer(1).pdf,3648
19_deer_odds(1).pdf,3059
19_drawing_odds(1).pdf,2731
19_dh_odds.pdf,1116
19_youth_dh_odds(1).pdf,907
2020_cougar_odds_report(2).pdf,591
2019_youth_turkey_bonus_points(1).pdf,216
2019_turkey_bonus_points(1).pdf,172
19_youth_bull_elk(1).pdf,52
