hunt_code,hunt_name,species,source_file,blank_sex,blank_sex_type,review_reason
BI6501,Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon,Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6507,"Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro - Any Legal Weapon",Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6508,Bison - Book Cliffs (cow Only) - Any Legal Weapon,Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6515,Henry Mtns (cow Only),Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6517,Book Cliffs (hunter's Choice),Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6518,Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon,Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6519,"Book Cliffs, Little Creek Roadless (hunter's Choice)",Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
BI6520,Book Cliffs (cow Only),Bison,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DB1027,Chalk Creek/east Canyon/morgan-south Rich,Deer,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DB1221,Clear Valley Ranch,Deer,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DB1278,Powder Mountain,Deer,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DS6619,Archery -Zion,Desert Bighorn Sheep,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3004,"Cache, North",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3007,"Central Mtns, Nebo",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3017,"Plateau, Boulder/kaiparowits",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3029,"Rifle -Box Elder , Grouse Creek",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3030,"Rifle -Box Elder , Grouse Creek",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3034,"Cache, North",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
