hunt_code,hunt_name,species,source_file,blank_sex,blank_sex_type,review_reason
EB3035,"Cache, North",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3040,"Central Mtns, Nebo",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3041,"Central Mtns, Nebo",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3054,Rifle -O quirrh-stansbury,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3055,Rifle -O quirrh-stansbury,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3061,"Plateau, Boulder/kaiparowits",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3062,"Plateau, Boulder/kaiparowits",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3082,"Cache, North",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3085,"Central Mtns, Nebo",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3095,"Plateau, Boulder/kaiparowits",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3106,"Cache, North",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3109,"Central Mtns, Nebo",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3119,"Plateau, Boulder/kaiparowits",Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3123,Multiseason Any,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3535,Lone Tree Tunnel Hollow,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3539,Cwmu Any Bull Elk - Mountain Top - Any Legal Weapon,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EB3542,Powder Mountain,Elk,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MB6210,Folley Ridge,Moose,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MB6215,Cwmu Bull Moose - Lone Tree Tunnel Hollow - Any Legal Weapon,Moose,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MB6216,Cwmu Bull Moose - Powder Mountain - Any Legal Weapon,Moose,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MB6261,Cwmu Bull Moose - Bally Watts - Any Legal Weapon,Moose,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
GO6809,"Mountain Goat - Ogden, Willard Peak - Any Legal Weapon",Mountain Goat,19_bg-odds(1).pdf,TRUE,TRUE,raw_pdf_hunt_title_does_not_print_explicit_sex_type
GO6809,"Mountain Goat - Ogden, Willard Peak - Any Legal Weapon",Mountain Goat,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
GO6811,"Mountain Goat - Ogden, Willard Peak (female Goat Only) - Any Legal Weapon",Mountain Goat,19_bg-odds(1).pdf,TRUE,TRUE,raw_pdf_hunt_title_does_not_print_explicit_sex_type
GO6811,"Mountain Goat - Ogden, Willard Peak (female Goat Only) - Any Legal Weapon",Mountain Goat,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
GO6815,"North Slope/south Slope, High Uintas Central",Mountain Goat,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5304,Cwmu Buck Pronghorn - Middle Ridge - Any Legal Weapon,Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5308,Cwmu Buck Pronghorn - Sj Ranch - Any Legal Weapon,Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5310,Cwmu Buck Pronghorn - Strawberry Ridge - Any Legal Weapon,Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5333,"Plateau, Parker Mtn",Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5334,"Plateau, Parker Mtn",Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PB5335,"Muzzle -Plateau , Parker Mtn",Pronghorn,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
RS6714,"Rocky Mountain Bighorn Sheep - North Slope, Bare Top/west Daggett - Any Legal Weapon",Rocky Mountain Bighorn Sheep,19_bg-odds(1).pdf,TRUE,TRUE,raw_pdf_hunt_title_does_not_print_explicit_sex_type
RS6714,"Rocky Mountain Bighorn Sheep - North Slope, Bare Top/west Daggett - Any Legal Weapon",Rocky Mountain Bighorn Sheep,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
RS6719,"Rocky Mountain Bighorn Sheep - Central Mtns, Nebo/wasatch Mtns - Any Legal Weapon",Rocky Mountain Bighorn Sheep,19_bg-odds(1).pdf,TRUE,TRUE,raw_pdf_hunt_title_does_not_print_explicit_sex_type
RS6719,"Rocky Mountain Bighorn Sheep - Central Mtns, Nebo/wasatch Mtns - Any Legal Weapon",Rocky Mountain Bighorn Sheep,19_bg-odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1005,"North Slope, Manila-phil Pico -Archer y, Mzldr, Shotgn Only",Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1010,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1016,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1017,"Pine Valley, Enterprise",Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1020,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1021,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1022,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1023,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1024,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1025,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1028,"East Canyon, Davis-north Salt Lake",Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1032,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1035,15,Deer,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1003,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1009,"Cache, East",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1014,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1019,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1027,"East Canyon, Davis-north Salt Lake",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1036,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1042,"Antlerless Elk - Morgan-south Rich, East Lost Creek - Any Legal Weapon",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1045,"Antlerless Elk - Morgan-south Rich, South Weber - Any Legal Weapon",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1046,"Antlerless Elk - Morgan-south Rich, West Lost Creek - Any Legal Weapon",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1047,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1048,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1050,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1051,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1052,"Nine Mile, Avintaquin-west Anthro",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1059,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1062,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1091,"South Slope, Diamond Mtn",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1092,"South Slope, Little Mtn-buckskin Hills",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1093,"South Slope, Little Mtn-buckskin Hills",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1098,"South Slope, Yellowstone",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1099,"South Slope, Yellowstone",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1100,"South Slope, Yellowstone",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1148,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1152,Cwmu Antlerless Elk - Mountain Top - Any Legal Weapon,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1155,Powder Mountain,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1183,"Antlerless Elk - Beaver, East - Muzzleloader",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1184,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1185,"Central Mtns, Ferron Canyon Southeast",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1191,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1197,"San Juan, Ridge",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1202,Cwmu Antlerless Elk - West Willow Creek Ranch - Any Legal Weapon,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1210,"Antlerless Elk - La Sal, La Sal Mtns - Taylor Flat - Any Legal Weapon",Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1212,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1213,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1215,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1216,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1218,15,Elk,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MA1000,"East Canyon, Davis-north Salt Lake",Moose,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
MA1002,Limited Entry - Antlerless Moose - Ogden - Any Legal Weapon,Moose,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1008,15,Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1009,15,Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1015,15,Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1019,15,Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1020,15,Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1028,"San Rafael, North-mounds Reef",Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1029,"San Rafael, North-mounds Reef",Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
PD1040,"South Slope, Bonanza/diamond Mtn",Pronghorn,19_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DB1774,Chalk Creek/east Canyon/morgan-south Rich,Deer,19_youth_dh_odds(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1005,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1010,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1016,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1017,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1020,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1021,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1022,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1023,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1024,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1025,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1028,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1032,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
DA1035,15,Deer,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1003,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1009,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1014,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1019,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1027,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1036,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1047,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1048,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1050,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1051,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1052,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1059,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1062,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1091,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1092,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1093,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1098,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1099,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1100,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1148,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1155,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1184,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1185,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
EA1191,15,Elk,19_youth_antlerless_drawing_odds_report(1).pdf,FALSE,FALSE,boundary_id_not_printed_in_draw_result_pdf_requires_database_or_geojson_crosswalk
