hunt_code,blank_count
DB1505,132
DB1535,132
DB1565,132
DB1590,132
DB1774,88
DA1005,68
DA1010,68
DA1016,68
DA1017,68
DA1020,68
DA1021,68
DA1022,68
DA1023,68
DA1024,68
DA1025,68
DA1028,68
DA1032,68
DA1035,68
EA1003,68
EA1009,68
EA1014,68
EA1019,68
EA1027,68
EA1036,68
EA1047,68
EA1048,68
EA1050,68
EA1051,68
EA1052,68
EA1059,68
EA1062,68
EA1091,68
EA1092,68
EA1093,68
EA1098,68
EA1099,68
EA1100,68
EA1148,68
EA1155,68
EA1184,68
EA1185,68
EA1191,68
EA1197,68
EA1212,68
EA1213,68
EA1215,68
EA1216,68
EA1218,68
PD1008,68
PD1009,68
PD1015,68
PD1019,68
PD1020,68
PD1028,68
PD1029,68
PD1040,68
BI6501,56
BI6507,56
BI6508,56
BI6515,56
BI6517,56
BI6518,56
BI6519,56
BI6520,56
DB1027,56
DB1221,56
DB1278,56
DS6619,56
EB3004,56
EB3007,56
EB3017,56
EB3029,56
EB3030,56
EB3034,56
EB3035,56
EB3040,56
EB3041,56
EB3054,56
EB3055,56
EB3061,56
EB3062,56
EB3082,56
EB3085,56
EB3095,56
EB3106,56
EB3109,56
EB3119,56
EB3123,56
EB3535,56
EB3539,56
EB3542,56
MB6210,56
MB6215,56
MB6216,56
MB6261,56
GO6809,56
GO6811,56
GO6815,56
PB5304,56
PB5308,56
