hunt_code,boundary_id,boundary_id_source,primary_universe_bucket,scoring_bucket,hunt_name,species,sex_type,hunt_type,weapon,prefix,present_regulation_pdf,present_draw_result_pdf,present_canonical_yearly,present_database_year_support,present_long_file,present_locked_2026_reference,canonical_row_count,canonical_scorable_row_count,pdf_evidence_row_count,regulation_pdf_sources,draw_result_pdf_sources,audit_note,locked_year,model_target_year,active_year_truth,locked_reconciled_bucket,prediction_accuracy_treatment,database_next_year_support,source_year_artifact,excluded_from_lock_prefix_filter,lock_status,lock_note
SC1000,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SC1001,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SC1002,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SC1006,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SC1007,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SC1008,,,,,,,,,,SC,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SG1000,,,,,,,,,,SG,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SG1001,,,,,,,,,,SG,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SG1002,,,,,,,,,,SG,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
SG1003,,,,,,,,,,SG,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
ST1000,,,,,,,,,,ST,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
ST1001,,,,,,,,,,ST,,,,,,,,,,,,,2025,2026,NO,OUT_OF_SCOPE_PREFIX_EXCLUDED,EXCLUDED_FROM_BIG_GAME_HUNT_CODE_UNIVERSE,NO,NO,YES,LOCKED_2025_UNTIL_NEXT_YEAR_DATA_ADDED,Excluded by prefix policy for this big-game hunt-code universe lock.
